"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Cl19_gHira_1_S10","Cl19_gHira_2_S11","Cl19_gHira_3_S12"
"ENSMUSG00000074715","Ccl28",-4.88131095699969,3.96078980109042,732.110626510843,3.11356467492245e-161,3.31096467531253e-157,4.84715483368359,4.94148087634139,5.01158600287978,-0.323794550709827,-0.174430393713324,0.0226912726541229
"ENSMUSG00000034457","Eda2r",3.36415615065214,3.87845841504322,592.658455555607,6.61697728318836e-131,3.51824682147125e-127,1.53464458249667,1.27510233555553,1.12231167870655,4.7486866026421,4.71575004533487,4.74063545660348
"ENSMUSG00000029086","Prom1",-2.66751951092135,5.24431944585537,579.546322512836,4.70722418739185e-128,1.6685540669575e-124,5.80692284039093,6.11020668437633,6.20893648929162,3.23850053582908,3.25259419630762,3.4021622334175
"ENSMUSG00000014602","Kif1a",-2.23666981424835,5.3408770063044,477.189296237122,8.73675657024548e-106,2.32266673419976e-102,6.15698637344739,5.97212701029919,6.12282038082587,3.87443863713281,3.70690863811392,3.6115923539575
"ENSMUSG00000053024","Cntn2",-2.2279689320431,5.63819515964254,449.688093530638,8.43325264044541e-100,1.79358417156993e-96,6.25456394819379,6.37722272462074,6.48461863318666,4.09109259255083,3.95425547910569,4.18282537756023
"ENSMUSG00000074896","Ifit3",-2.37723750724026,4.66347981162233,444.793674529189,9.79874771421845e-99,1.73666471988332e-95,5.35651889633783,5.43756792463236,5.47712797749261,2.9870243626582,3.07151996841084,2.94507399005246
"ENSMUSG00000031995","St14",-1.76071809297314,6.31012803471745,440.098659596965,1.03032465591894e-97,1.56521034157742e-94,6.85553628492888,6.99411539242814,6.97402431138971,5.18214391194206,5.19639025944841,5.12574386701568
"ENSMUSG00000045394","Epcam",-1.91717355424796,6.08345104474641,438.693979592668,2.08299170950664e-97,2.76529900681984e-94,6.63104103455462,6.79722186356686,6.77967683102554,4.81610241124255,4.9179782725074,4.86460359228366
"ENSMUSG00000031673","Cdh11",-3.82815659376944,3.27611891653827,438.461483817242,2.34038847671418e-97,2.76529900681984e-94,4.10875401040769,4.20336726099361,4.35277675105383,0.251427020760781,-0.174430393713324,-0.358637004769481
"ENSMUSG00000029120","Ppp2r2c",-1.69488124054726,6.12931772688621,420.621208667567,1.78744665210422e-93,1.90077076984763e-90,6.68039376904131,6.84274954093579,6.75790472295223,4.95131617263569,4.99541025419791,5.01955746939012
"ENSMUSG00000016494","Cd34",-1.70701583875525,6.47724621494144,418.189190827138,6.04772869767402e-93,5.84650427009687e-90,7.00691745999882,7.14623378957896,7.11731027482187,5.39648677576879,5.43743155853661,5.34956739139832
"ENSMUSG00000031239","Itm2a",-2.81114985946079,3.95095779268635,411.691204146469,1.57035047363516e-91,1.39159224471969e-88,4.90840490597603,4.74961047265642,4.66500764794321,1.58865262623757,2.03690321484553,2.02970894300152
"ENSMUSG00000031558","Slit2",-1.66789384951205,6.00635135160317,384.131834234047,1.56822590694925e-85,1.28280879188448e-82,6.51042216413167,6.5611953037163,6.80656121510478,4.89684717225258,4.82633063400638,4.9404693488593
"ENSMUSG00000021822","Plau",-1.72919097343234,6.67655741799504,370.392101711737,1.53752267828963e-82,1.16785829720942e-79,7.18845641277597,7.35223247136867,7.34696272718302,5.55845491015266,5.68796672125455,5.45421155507445
"ENSMUSG00000018217","Pmp22",3.16004362089812,3.10838142697336,366.428050359694,1.12183331046127e-81,7.95305028229676e-79,0.601657082876887,-0.154836444461516,0.68067453013218,3.90437809522758,4.05862775271646,3.94936972270496
"ENSMUSG00000047501","Cldn4",-1.56777079006409,6.51272849423453,341.158916560773,3.56845676894987e-76,2.37168558006331e-73,7.0519011133253,7.11806012036647,7.08147640581554,5.48380445503517,5.64948842513529,5.54206774259195
"ENSMUSG00000030093","Wnt7a",-1.62634982806111,6.01351537101558,329.983549777427,9.69103670424778e-74,6.06202848899829e-71,6.51561135967426,6.71182544892406,6.66519940062889,4.91701420603991,4.96350106014476,4.86849314089324
"ENSMUSG00000018920","Cxcl16",-1.48578257272759,5.73778880616332,314.607978809586,2.16486583154468e-70,1.27895462514701e-67,6.30937508531741,6.29172340423573,6.28596118566159,4.7561688806745,4.88049667931614,4.839062659806
"ENSMUSG00000028760","Eif4g3",-1.78310880184655,5.44320551106874,313.623582683273,3.54704038979049e-70,1.98522250026485e-67,6.17808463154344,5.9968964998426,6.07857190257824,4.24792117465961,4.21436532297842,4.33394350822264
"ENSMUSG00000072568","Lratd2",-1.35418562614087,6.51114550192131,285.061616739613,5.92402302769869e-64,3.14980304382739e-61,7.07035562755943,7.00490137268491,7.01984333809122,5.69162752281032,5.71696425018757,5.66903552662844
"ENSMUSG00000033436","Armcx2",2.07348178613385,3.6092539411097,265.93789035586,8.71470727493382e-60,4.4129617696022e-57,2.48307895073752,2.29240614755662,2.2452270552018,4.21137226709872,4.24713098521338,4.31980852910732
"ENSMUSG00000017723","Wfdc2",-1.25640057197091,6.98440762255894,262.272829907484,5.4840527827068e-59,2.60318113158731e-56,7.56545313975255,7.47930924270288,7.4251815186428,6.2109744637653,6.20106640005619,6.18633843063074
"ENSMUSG00000057897","Camk2b",1.31140610149548,5.83434201791412,262.220373191217,5.63035226880837e-59,2.60318113158731e-56,5.09051857295536,5.13421352135572,5.10919395810972,6.27487806072125,6.35178739010993,6.30589504203399
"ENSMUSG00000040728","Esrp1",-1.71346202083919,4.6405514379374,261.7494170967,7.13164659229159e-59,3.15991374426786e-56,5.28902970728217,5.25412803583453,5.32290334265818,3.50325983859611,3.54385106063818,3.31363644562745
"ENSMUSG00000050071","Bex1",-2.18954341896533,3.5953193577163,261.056707688355,1.00967327941295e-58,4.29474626131091e-56,4.40115794681317,4.22700984377317,4.33099498024026,2.13015571152003,2.17952875194286,2.04353696657771
"ENSMUSG00000020241","Col6a2",2.62918895230808,2.71476650393323,259.810909563044,1.8868327132142e-58,7.71714579704609e-56,0.36457974792346,1.16750275754172,0.68067453013218,3.51389199375912,3.50496971407674,3.45485348675679
"ENSMUSG00000026308","Klhl30",1.90238061640618,4.41579544916624,259.430582638382,2.28368416822986e-58,8.99433238702085e-56,3.19199283631663,3.31995089436619,3.24591097103165,5.07134161201537,5.04876289779054,5.00549655199688
"ENSMUSG00000028195","Ccn1",-1.37462588213382,8.30959231730943,257.999356191352,4.68398049239921e-58,1.77890887700618e-55,8.70631544690369,8.78362448087969,8.90812932020551,7.45587982298188,7.58728376692188,7.62674762943925
"ENSMUSG00000022438","Parvb",2.23364665550478,3.51174226472519,252.928717414048,5.96990518661582e-57,2.18910247429216e-54,2.17211445294582,2.18613785609786,2.19787573450514,4.30617131110023,4.01085864082733,4.18282537756023
