"","GeneName","logFC","logCPM","LR","PValue","FDR","Cl19_1_S4","Cl19_2_S5","Cl19_3_S6","Fl_1_S1","Fl_2_S2","Fl_3_S3"
"ENSMUSG00000029108","Pcdh7",7.88863852763015,5.11267747086924,1503.28380181818,0,0,6.0294816444814,6.05726728604322,6.24988161617652,-2.35072225490315,-2.49494103769886,-2.0985275836326
"ENSMUSG00000033491","Prss35",7.44648657309138,5.99555604558596,1986.48742332966,0,0,6.83687523276609,7.01973394360004,7.11186801996113,-0.743087165207635,-0.92430404365956,-0.956862193989555
"ENSMUSG00000016024","Lbp",7.14794453594838,6.03723820524431,2028.9001852908,0,0,6.91550559216639,7.07241423006926,7.11027074695663,-0.192051835577554,-1.02332563500824,-1.34206264917738
"ENSMUSG00000029636","Wasf3",-6.46863550462456,4.73686113650022,1683.37149117825,0,0,-0.272634284008394,-0.301093886021171,-0.190866171569323,5.69983340506922,5.74756096064217,5.66718626100028
"ENSMUSG00000028364","Tnc",-5.64520012007917,5.22766003178405,1937.32590941324,0,0,1.48443533099707,1.3992525840001,1.74985022918873,6.25087601291676,6.146060929404,6.08741184779451
"ENSMUSG00000029671","Wnt16",5.21620355475027,5.67214710538311,1799.79463036477,0,0,6.68630850379092,6.60609244773109,6.64466739947016,1.29285751114927,0.778511707146839,1.16703328744841
"ENSMUSG00000026413","Pkp1",-5.18576540007903,4.93221375927647,1615.61573255057,0,0,1.61389887226002,1.77409150996597,1.829669468299,5.83551658823086,5.82254320544728,5.8733625270437
"ENSMUSG00000026069","Il1rl1",-5.05022272428714,6.87728785359601,2043.87850551422,0,0,2.96758625280649,3.04371459744078,3.07935117430367,7.84483846917283,7.84086561344859,7.78547065703241
"ENSMUSG00000003617","Cp",3.8112818474343,6.48338143221356,1630.53805206131,0,0,7.41307944505355,7.31308757534029,7.45322874246945,3.49584671294568,3.48835641862606,3.39158728385032
"ENSMUSG00000022265","Ank",3.70152172226046,7.00673201421554,1534.39198046676,0,0,7.72819753774975,7.97987393476343,8.01363390003269,4.11546924725184,4.01980376001446,4.02584758722219
"ENSMUSG00000047250","Ptgs1",3.99275380697375,6.143218451477,1453.04590576754,6.2458642596265e-318,6.10334499154205e-315,7.07157613326339,7.05553859346454,7.07672190708936,3.001466500643,2.66203421819951,3.02870518058041
"ENSMUSG00000056820","Tsnax",-4.44100886550941,4.97196274267693,1428.33101777738,1.46582601390082e-312,1.31301365195167e-309,2.29269264883941,2.12984621484117,2.1109763113269,5.88082411234394,5.80821531429129,5.88027813797336
"ENSMUSG00000048120","Entpd1",-4.40451977055891,5.6188237064382,1347.83957986473,4.54101907230922e-295,3.7547241544809e-292,2.53264580156672,2.56032001605933,2.87630821280067,6.55178662880499,6.48243188016104,6.51819984960177
