"","GeneName","logFC","logCPM","LR","PValue","FDR","Fl_1_S1","Fl_2_S2","Fl_3_S3","Fl_gHira_1_S7","Fl_gHira_2_S8","Fl_gHira_3_S9"
"ENSMUSG00000069049","Eif2s3y",-13.2675582641799,4.31914459924824,2987.13006493684,0,0,5.26732623700053,5.33649255220998,5.20787234383986,-3.77645651018258,-3.77645651018258,-3.77645651018258
"ENSMUSG00000000094","Tbx4",10.4146273930313,2.59827692623978,1574.92144159378,0,0,-3.26706102890602,-3.77645651018257,-3.77645651018257,3.71321937532865,3.46570635953139,3.69957393536249
"ENSMUSG00000058252","Tcp11x2",10.2031937383463,2.82153473227901,2195.0538051028,0,0,-3.77645651018258,-2.80655370143701,-3.77645651018257,3.81591880781769,3.7844280282291,3.95377560699368
"ENSMUSG00000053024","Cntn2",-8.84292142708261,7.21170588971194,4825.94788254778,0,0,8.22868284707705,8.20882336208359,8.14898165065295,-2.32775044473143,-2.17165188201314,-2.41067221037766
"ENSMUSG00000070473","Cldn3",-8.76322811275038,6.48076433055677,4318.96904257445,0,0,7.48300787618961,7.3846230002845,7.5049887030068,-1.81938930625014,-1.8803548942522,-2.65022835570159
"ENSMUSG00000029120","Ppp2r2c",-8.49272781603185,6.89946875198478,4772.92252684945,0,0,7.88211113207695,7.83647758292901,7.92514939960269,-1.44423373679801,-2.5370398975748,-2.93764028216489
"ENSMUSG00000045394","Epcam",-8.44374886432324,7.23747741086544,6479.71033214898,0,0,8.24787504750514,8.16395522643362,8.2522401114544,-1.14677495997863,-2.17165188201314,-1.72184144208433
"ENSMUSG00000023011","Faim2",8.20458343460203,3.76445517577197,5351.72826685723,0,0,-1.78943574835354,-1.12732452068471,-1.33960909391237,4.8143351595706,4.79615838122726,4.77499082745099
"ENSMUSG00000018569","Cldn7",-7.92698167414605,6.44588193711523,4196.12847787981,0,0,7.46747429842815,7.38884486092771,7.40775425057389,-1.81938930625014,-1.63810860769783,-1.72184144208433
"ENSMUSG00000040728","Esrp1",-7.64478448764566,6.17137700705028,3227.8537132416,0,0,7.14380465336543,7.15921172694257,7.13226833341618,-2.0512934231816,-2.17165188201314,-2.20528702879801
"ENSMUSG00000017723","Wfdc2",-7.63138104785214,6.30822763720005,3901.69811354084,0,0,7.32154200677854,7.20644812186255,7.31776197339524,-1.14677495997863,-1.63810860769783,-2.20528702879801
"ENSMUSG00000026208","Des",7.47650346461701,2.12105428813492,1548.43355295588,0,0,-2.59353489746297,-1.82184107484033,-2.09510340721664,3.13457055829194,3.1396698620321,3.14548851777822
"ENSMUSG00000019539","Rcn3",7.39795327573618,2.6694784962616,2214.70158273713,0,0,-1.5100949623546,-1.50298999013922,-2.36749218101566,3.66139192456487,3.73147321501821,3.68350941813814
"ENSMUSG00000034457","Eda2r",7.28075226960119,4.2663105461602,4535.5732318727,0,0,-0.0920078944431452,-0.509163768909706,0.16346212992708,5.18849175628877,5.3432638224578,5.29401338249976
"ENSMUSG00000024479","Mal2",-7.26982229020707,5.20641216800809,1656.18781743711,0,0,6.19349295068612,6.17119677171962,6.13880156174067,-3.11969130572172,-3.02755292192158,-2.20528702879801
"ENSMUSG00000033998","Kcnk1",-7.12255832333368,5.91995880682144,3017.52991952176,0,0,6.90505091856306,6.84880828922606,6.91599265318956,-1.44423373679801,-2.17165188201314,-1.86570970850337
"ENSMUSG00000044393","Dsg2",-6.98644024009553,6.42017769074476,4817.18650413571,0,0,7.43383497470114,7.3731009930442,7.37347951409547,-0.791224792785469,-1.08847279944229,-0.831046078709912
"ENSMUSG00000024451","Arap3",6.52468508914719,3.00210885331832,2990.87680389526,0,0,-0.599237330939475,-0.742537610633872,-0.254826611242778,4.04277776351156,3.94189607600521,3.98294680220112
"ENSMUSG00000006345","Ggt1",6.50068724072594,2.53095275533395,1813.59295562009,0,0,-0.898358162954748,-2.01229229942611,-0.254826611242778,3.52567880558026,3.39254839135406,3.58663356387461
"ENSMUSG00000115483","Gm9732",6.45749843292495,4.3835245051074,5459.09494887014,0,0,0.518675728462028,0.166586140794076,0.487337458808763,5.38866274751434,5.37813556879086,5.3742674466824
"ENSMUSG00000031387","Renbp",6.27469229561696,3.21633961153698,2777.42252289847,0,0,-0.242103463846611,-0.372222810053853,-0.479390604856517,4.17634718462241,4.19364406961989,4.23520526758034
"ENSMUSG00000035818","Plekhs1",-6.2591222926486,6.57660987617022,5166.39309261729,0,0,7.55542067475059,7.60696856120857,7.46115230189708,0.975460722275981,0.73301678447292,0.800602261964274
"ENSMUSG00000027356","Fermt1",-6.04691307870344,6.40784896287921,6954.66723552407,0,0,7.33816833208073,7.36699961468642,7.41151277285952,0.879744507850198,0.689254920988576,0.824239502821624
"ENSMUSG00000086454","Platr14",6.03646145504967,2.64076634435178,1868.75978495971,0,0,-0.470117572320972,-0.660479580811863,-0.745470713773523,3.55695972712968,3.55984103911087,3.69316957799279
"ENSMUSG00000028392","Bspry",-5.83391391931481,4.96611367781389,1980.5337020305,0,0,5.93536745545133,5.87014128034532,5.95341864027852,-0.90028708420707,-1.43075040130221,-1.47109593372889
"ENSMUSG00000033295","Ptprf",-5.82875207607723,6.68599374393539,7450.36417185596,0,0,7.67367791001072,7.64855879816708,7.62491669257477,1.22954353533678,1.26724732057024,1.48874192944415
"ENSMUSG00000023232","Serinc2",-5.71634394501277,5.07689751235461,2155.52265190782,0,0,6.0561941813142,6.00748116344639,6.02742802611417,-1.01827328236794,-0.69142841900738,-1.47109593372889
"ENSMUSG00000024421","Lama3",-5.69141515030613,5.80148362653438,4905.46810643373,0,0,6.78769275530602,6.74064931245674,6.7325831839711,0.846373930188743,0.0924577738348891,0.650018319080685
"ENSMUSG00000065999","Zfp985",5.57350407155709,2.75882129467843,2150.02492853799,0,0,-0.0452564497016493,-0.0255057420268525,-0.00120620554804751,3.62741426392363,3.60764259333,3.81024162576967
"ENSMUSG00000001123","Lgals9",5.555965279932,5.36133615152525,6752.07419457917,0,0,1.60384166465179,1.68761994275872,1.7720167642116,6.34994499079496,6.37341677231149,6.29267104087425
"ENSMUSG00000024885","Aldh3b1",5.53321674502848,3.0639723932618,2538.02997778571,0,0,0.16816048800288,-0.0255057420268525,0.16346212992708,4.03539321831448,4.0234593944237,4.00379776239241
"ENSMUSG00000024866","Acy3",5.49727593612147,3.34623740793603,1793.6397582472,0,0,0.207301114676597,0.295537138819797,0.263647173544345,4.15606217512379,4.33879094804601,4.39566154124219
"ENSMUSG00000027375","Mal",-5.41981379709444,6.90830514170614,9230.60866979586,0,0,7.88040936372688,7.81579609468436,7.88761690102945,2.28372033147371,2.34729316518897,2.33650085250319
"ENSMUSG00000037813","D630003M21Rik",5.40198723399978,3.48457541479079,2027.36363303261,0,0,0.666435718188231,0.591859759954259,0.680955169051765,4.30781517952606,4.37376967497679,4.5471643730823
"ENSMUSG00000028713","Cyp4b1",5.36130274981396,2.8472890051217,2073.38517394852,0,0,-0.0920078944431452,0.210862888458036,-0.00120620554804751,3.73617556889123,3.77921916321382,3.83953377948585
