pathway,pval,padj,ES,NES,nMoreExtreme,size
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.22962962962962963,0.6593735123298105,0.5309844627178056,1.2392012162277457,123,15
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.03383458646616541,0.30478413776376423,0.7571536387100077,1.5671300425741579,17,8
KEGG_BUTANOATE_METABOLISM,0.4551971326164875,0.8476524822695035,0.389308253857035,0.9861982118710988,253,20
KEGG_LYSINE_DEGRADATION,0.9842342342342343,1,-0.181564206988967,-0.5135736922890446,436,29
KEGG_TRYPTOPHAN_METABOLISM,0.07720588235294118,0.4681118561414203,0.6065202713400013,1.4344142484528786,41,16
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.31026785714285715,0.7403038095490576,-0.42727244865987934,-1.113732071124092,138,21
KEGG_BETA_ALANINE_METABOLISM,0.5894538606403014,0.8951733015071411,0.40462556904920777,0.9093091750010471,312,12
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.15245009074410162,0.5710755597213641,0.5435472995981638,1.3153786120401751,83,17
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.08703374777975133,0.4734053824962916,0.5011087812002771,1.4146748093815666,48,36
KEGG_PROPANOATE_METABOLISM,0.12014134275618374,0.5130303133399108,0.5410938382601904,1.4074536240940652,67,23
KEGG_ABC_TRANSPORTERS,0.38475499092558985,0.7914757363975763,0.43824175362842255,1.0605403247370933,211,17
KEGG_LYSOSOME,0.017241379310344827,0.20487894350696992,0.44644383151247014,1.4687025215939784,9,94
KEGG_TYPE_II_DIABETES_MELLITUS,0.6166365280289331,0.9051024990910884,0.32988747297905613,0.8674164420421747,340,25
KEGG_PEROXISOME,0.19400352733686066,0.6222147950089126,0.39908147922452797,1.2133779642574531,109,60
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.38636363636363635,0.7918682235195996,0.2943649946799333,1.0315234906842223,237,140
KEGG_CELL_CYCLE,0.9917218543046358,1,0.18357565896805042,0.6285257826083555,598,115
KEGG_ERBB_SIGNALING_PATHWAY,0.985981308411215,1,-0.17904644977244827,-0.5889302647290234,421,66
KEGG_PATHWAYS_IN_CANCER,0.6275071633237822,0.9166869300911854,-0.2391109355445151,-0.934253200892155,218,228
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.6724738675958188,0.9304042845410707,0.28093925630191885,0.8732134890675066,385,66
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.9949664429530202,1,0.17235271454223816,0.5783934287410499,592,100
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.2557077625570776,0.6912431544359255,-0.3801557311307973,-1.1756342645945992,111,43
