pathway,pval,padj,ES,NES,nMoreExtreme,size
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.01584507042253521,0.2185054773082942,-0.6612125915361973,-1.7003819163975729,8,16
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.059674502712477394,0.36826751121457046,-0.7085166759690784,-1.476520843572651,32,7
KEGG_BUTANOATE_METABOLISM,0.45486725663716815,0.7926469979153148,-0.3742003549077215,-1.0180705355674189,256,20
KEGG_LYSINE_DEGRADATION,0.5401069518716578,0.8594009476362419,-0.31882574268265007,-0.9311631203469035,302,29
KEGG_TRYPTOPHAN_METABOLISM,0.25880281690140844,0.6600062704997106,-0.4589274749716593,-1.180183180672369,146,16
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.9928825622775801,1,-0.17338646547793962,-0.47677342125749717,557,21
KEGG_BETA_ALANINE_METABOLISM,0.7602739726027398,0.9497130729752531,0.3168858560222402,0.7847343717392328,332,12
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.6628175519630485,0.9133868969635394,0.3144447406713297,0.8658920951856356,286,17
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.8842592592592593,0.9844847181803704,0.21294484254128193,0.7183303467927492,381,36
KEGG_PROPANOATE_METABOLISM,0.4279379157427938,0.7764842186567427,0.33433553259895366,1.0274145317926868,192,23
KEGG_ABC_TRANSPORTERS,0.6959578207381371,0.9150605786228603,-0.31361872870698176,-0.8238925029186551,395,17
KEGG_LYSOSOME,0.001557632398753894,0.09821075306633843,-0.4716398751807327,-1.7362863046601302,0,93
KEGG_TYPE_II_DIABETES_MELLITUS,0.056433408577878104,0.3581597578493741,0.47321207936736853,1.4799123119416233,24,25
KEGG_PEROXISOME,0.13032581453634084,0.48194658915432825,0.32854271991074513,1.232005106374584,51,60
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.17673048600883653,0.5672642323904322,-0.30148911469386336,-1.1760088689449497,119,140
KEGG_CELL_CYCLE,0.4273255813953488,0.7764842186567427,0.24205091811870466,1.005436425219806,146,115
KEGG_ERBB_SIGNALING_PATHWAY,0.6240409207161125,0.8971090198711681,0.2426579705012288,0.9247163416364385,243,66
KEGG_PATHWAYS_IN_CANCER,0.04781997187060478,0.3257006620699118,-0.31946597813158223,-1.311054828757747,33,224
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.8791773778920309,0.9844847181803704,0.2014467932390837,0.7702548910968979,341,67
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.4575342465753425,0.795846133809345,0.24625446075450216,1.0053119808842963,166,102
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.9047619047619048,0.9893127066603685,0.20549423122368232,0.7081158831240284,379,41
KEGG_VIRAL_MYOCARDITIS,0.01079136690647482,0.1826357096141269,-0.6228161129355609,-1.7684164476888284,5,24
KEGG_AXON_GUIDANCE,0.06003159557661927,0.3684356717532073,-0.38056549158160397,-1.3857236585394241,37,88
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.8093525179856115,0.9667856756464351,-0.32238985523425723,-0.7321392746666706,449,10
KEGG_FATTY_ACID_METABOLISM,0.6909090909090909,0.9150605786228603,0.2624750549351612,0.851609298331589,303,30
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.9147465437788018,0.9893127066603685,0.2438807247469555,0.6323407647798858,396,14
KEGG_PPAR_SIGNALING_PATHWAY,0.19679633867276888,0.5941121899931969,0.36861775761837734,1.2067876206727293,85,31
KEGG_PYRUVATE_METABOLISM,0.3555045871559633,0.740597949536497,0.3422910553060325,1.0825595357359907,154,27
KEGG_INSULIN_SIGNALING_PATHWAY,0.5095890410958904,0.8358457546315854,0.2426142077081287,0.98547162740624,185,99
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.3388235294117647,0.7336857091764447,0.3048790118319725,1.0827616454322317,143,45
KEGG_ENDOCYTOSIS,0.07657657657657657,0.40150970524802304,-0.33679550830760224,-1.2945870919317226,50,127
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.6984126984126984,0.9150605786228603,0.32035944569269115,0.8163088268727434,307,13
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.015122873345935728,0.21656730163346422,-0.823076478570836,-1.6151827592262122,7,6
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.22105263157894736,0.6161554638748751,-0.3937188623116688,-1.2075652574780602,125,36
KEGG_SPHINGOLIPID_METABOLISM,0.3165137614678899,0.7203327151700193,0.35124445313346364,1.1108763323483288,137,27
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.43500866551126516,0.7764842186567427,-0.31929323841259916,-1.014022184348309,250,45
KEGG_SPLICEOSOME,0.019830028328611898,0.23065407051778428,0.351483910410166,1.4512865868088156,6,111
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.02040816326530612,0.23065407051778428,0.5218966624000893,1.6398768085083528,8,26
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.16968325791855204,0.5525836708309698,0.5332347726372628,1.293831652742786,74,11
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.03969754253308128,0.30164731298946795,-0.7601449764168501,-1.491687701430587,20,6
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.028017241379310345,0.26196674406060183,0.797797509710374,1.5628287052360739,12,5
KEGG_ADHERENS_JUNCTION,0.8347107438016529,0.9700884331687092,-0.22952215512307705,-0.7634781960522911,504,55
KEGG_RIBOFLAVIN_METABOLISM,0.31868131868131866,0.7203369196854539,0.50398044084072,1.1334862758175963,144,8
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.10747663551401869,0.45163538135957737,0.39109866282693095,1.3025505595420446,45,34
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.42434782608695654,0.7764842186567427,-0.32144923643479467,-1.013592199876757,243,43
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.2613240418118467,0.6602563122627327,-0.38236842113055525,-1.154964416471506,149,33
KEGG_FOCAL_ADHESION,0.07272727272727272,0.39899536752804604,-0.3387782745660052,-1.3090085311189288,47,134
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.07213114754098361,0.39899536752804604,-0.40991157662133704,-1.3791344954927782,43,58
KEGG_DILATED_CARDIOMYOPATHY,0.20869565217391303,0.6023592854735423,-0.4009613536075096,-1.2236776877651625,119,35
KEGG_TIGHT_JUNCTION,0.030744336569579287,0.26621258874589193,-0.4137242833716468,-1.4705115682205108,18,77
KEGG_VIBRIO_CHOLERAE_INFECTION,0.19243986254295534,0.5922906439652851,-0.4013276014730105,-1.2414119710660811,111,37
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.5831381733021077,0.8790355459898168,0.275000925312741,0.9213036195734653,248,35
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.27289377289377287,0.6743857175273105,-0.5371826550898613,-1.188224042183763,148,9
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.0016207455429497568,0.09821075306633843,-0.5307915201627803,-1.8632562068243403,0,73
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.24449877750611246,0.6432743726861374,0.30955748417976336,1.1431693229683815,99,54
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.21390374331550802,0.6079656012300826,-0.41962985347491366,-1.2255718138210365,119,29
KEGG_HISTIDINE_METABOLISM,0.5971479500891266,0.8882302129557156,-0.36905864292620005,-0.8979483796866927,334,13
KEGG_PRIMARY_IMMUNODEFICIENCY,0.6425438596491229,0.9070118142556305,0.37378478311161745,0.8712334202373045,292,9
KEGG_PURINE_METABOLISM,0.09668508287292818,0.4337238456588786,0.31273352647177505,1.2532140528590963,34,92
KEGG_ALZHEIMERS_DISEASE,0.4992248062015504,0.8311011904761905,-0.25860821688822916,-0.9686237579125877,321,109
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.09731543624161074,0.43480536912751677,-0.4038671909927843,-1.3283894608949756,57,52
KEGG_NOTCH_SIGNALING_PATHWAY,0.3425925925925926,0.7336857091764447,0.3195547498239629,1.0779593040193836,147,36
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.7422867513611615,0.9369508820477342,-0.280294256084921,-0.7815243078994557,408,23
KEGG_MELANOGENESIS,0.08292682926829269,0.40637885035168564,0.35619504217353626,1.3057390222074834,33,53
KEGG_LONG_TERM_POTENTIATION,0.38173302107728335,0.7495416196734946,0.3015737432842954,1.058937168181218,162,43
KEGG_CALCIUM_SIGNALING_PATHWAY,0.2121951219512195,0.6062945040387129,0.31677875837322966,1.1612468935287514,86,53
KEGG_GAP_JUNCTION,0.7268408551068883,0.9321254134952862,0.23928508094940557,0.8567060642750868,305,48
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.03376205787781351,0.27527166897458166,-0.39878831044379326,-1.4410313445394345,20,86
KEGG_OOCYTE_MEIOSIS,0.007894736842105263,0.16033492822966508,0.39719554171089355,1.553507820733462,2,78
KEGG_GNRH_SIGNALING_PATHWAY,0.5986842105263158,0.8887781232851656,-0.2723247989168194,-0.9168947761169072,363,59
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.10406091370558376,0.45052728918270174,0.3393754892990227,1.2719820156751283,40,59
