pathway,pval,padj,ES,NES,nMoreExtreme,size
KEGG_COMPLEMENT_AND_COAGULATION_CASCADES,0.3092369477911647,0.9306689182850173,-0.5347177473637927,-1.1559327105988844,153,11
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_GLOBO_SERIES,0.218568665377176,0.841477329596637,0.6056026616886592,1.2648665359109388,112,8
KEGG_BUTANOATE_METABOLISM,0.1073558648111332,0.7461139896373057,0.5623855339173923,1.408089059143133,53,19
KEGG_LYSINE_DEGRADATION,0.6227544910179641,1,0.32069054863307717,0.893669081338053,311,30
KEGG_TRYPTOPHAN_METABOLISM,0.021359223300970873,0.5295031055900621,0.6798524055824134,1.674901329224472,10,17
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS,0.7600806451612904,1,-0.29454780951578896,-0.7352251614539347,376,21
KEGG_BETA_ALANINE_METABOLISM,0.375,0.9645635263612792,0.47206344664019567,1.0740921200572269,188,11
KEGG_ALANINE_ASPARTATE_AND_GLUTAMATE_METABOLISM,0.22244094488188976,0.8454545454545455,0.5035763181793254,1.229185957162557,112,16
KEGG_VALINE_LEUCINE_AND_ISOLEUCINE_DEGRADATION,0.030612244897959183,0.5714285714285714,0.5335366533820662,1.5494899740397166,14,36
KEGG_PROPANOATE_METABOLISM,0.0682261208576998,0.7020000000000001,0.5715852649331502,1.4904774892988983,34,22
KEGG_ABC_TRANSPORTERS,0.9331983805668016,1,-0.2415628515479566,-0.5723107817218898,460,16
KEGG_LYSOSOME,0.562363238512035,1,0.27671004062543725,0.9537118899965833,256,94
KEGG_TYPE_II_DIABETES_MELLITUS,0.4623217922606925,0.9979850046860357,-0.3801084151240577,-0.9907258882850788,226,25
KEGG_PEROXISOME,0.77,1,0.25657390373933076,0.8193860866877626,384,56
KEGG_REGULATION_OF_ACTIN_CYTOSKELETON,0.7603603603603604,1,-0.24648732477639293,-0.8518094755740789,421,135
KEGG_CELL_CYCLE,0.9887218045112782,1,-0.1873440912798889,-0.6257582763467016,525,115
KEGG_ERBB_SIGNALING_PATHWAY,0.9254302103250478,1,-0.21676510877142866,-0.6838287102558106,483,66
KEGG_PATHWAYS_IN_CANCER,0.32996632996632996,0.9616245088217431,-0.29280791361944347,-1.057438291066547,195,225
KEGG_CHRONIC_MYELOID_LEUKEMIA,0.9579349904397706,1,-0.20982348788177513,-0.6619299845477817,500,66
KEGG_NEUROTROPHIN_SIGNALING_PATHWAY,0.8888888888888888,1,-0.2317663560438734,-0.7671089422364223,479,101
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION,0.05719921104536489,0.7020000000000001,-0.5074657918523269,-1.4654119978261093,28,43
KEGG_VIRAL_MYOCARDITIS,0.02631578947368421,0.5537480063795853,-0.6435073251546032,-1.6587412581421153,12,24
KEGG_AXON_GUIDANCE,0.031598513011152414,0.5714285714285714,-0.44561200290248204,-1.4497191160680727,16,85
KEGG_GLYCOSPHINGOLIPID_BIOSYNTHESIS_LACTO_AND_NEOLACTO_SERIES,0.3532934131736527,0.9645635263612792,-0.49523011527727634,-1.1016684022115961,176,12
KEGG_FATTY_ACID_METABOLISM,0.8143712574850299,1,-0.27096946395361543,-0.7246285883190059,407,30
KEGG_BIOSYNTHESIS_OF_UNSATURATED_FATTY_ACIDS,0.8822355289421158,1,-0.26660941516695835,-0.6168843048613725,441,14
KEGG_PPAR_SIGNALING_PATHWAY,0.733739837398374,1,0.29666634591767393,0.8273649111208222,360,31
KEGG_PYRUVATE_METABOLISM,0.007797270955165692,0.36145748987854254,0.6532397375215778,1.7818965166437488,3,27
KEGG_INSULIN_SIGNALING_PATHWAY,0.3921200750469043,0.9724577861163227,-0.31445385235745954,-1.0354908823564055,208,99
KEGG_ADIPOCYTOKINE_SIGNALING_PATHWAY,0.7927565392354124,1,0.2644577222563077,0.8089914149657559,393,46
KEGG_ENDOCYTOSIS,0.2664233576642336,0.8791982087642605,-0.3319419765618894,-1.1310841983605902,145,126
KEGG_TERPENOID_BACKBONE_BIOSYNTHESIS,0.8795180722891566,1,-0.2712318286151492,-0.6177021663974472,437,13
KEGG_RENIN_ANGIOTENSIN_SYSTEM,0.2623574144486692,0.8740026105215369,0.6596396387313381,1.2058709914478947,137,5
KEGG_HYPERTROPHIC_CARDIOMYOPATHY_HCM,0.3638211382113821,0.9645635263612792,0.3735671232038222,1.064146738551419,178,33
KEGG_SPHINGOLIPID_METABOLISM,0.5991820040899796,1,-0.3360862696808728,-0.8821867315711842,292,27
KEGG_GLYCEROPHOSPHOLIPID_METABOLISM,0.5239043824701195,1,-0.31841010286570504,-0.9319610631185181,262,47
KEGG_SPLICEOSOME,0.49455337690631807,1,0.27799562343582934,0.9849413474833856,226,111
KEGG_CITRATE_CYCLE_TCA_CYCLE,0.09746588693957114,0.7399328859060402,0.5080005200167844,1.3857153891242269,49,27
KEGG_GLYOXYLATE_AND_DICARBOXYLATE_METABOLISM,0.9116465863453815,1,-0.2706049666232598,-0.5849836369046725,453,11
KEGG_ALPHA_LINOLENIC_ACID_METABOLISM,0.28820116054158607,0.9085663705209324,0.6169278366377045,1.1947436040514026,148,6
KEGG_PRIMARY_BILE_ACID_BIOSYNTHESIS,0.4126679462571977,0.9825599029420685,0.61494230637855,1.0751153044933373,214,4
KEGG_ADHERENS_JUNCTION,0.3832684824902724,0.9645635263612792,-0.34045385035061,-1.0371729805175753,196,58
KEGG_RIBOFLAVIN_METABOLISM,0.061855670103092786,0.7020000000000001,-0.7691100815747486,-1.5685523829781416,29,8
KEGG_GLYCOLYSIS_GLUCONEOGENESIS,0.008097165991902834,0.36145748987854254,0.6534557099693749,1.8486885419864192,3,32
KEGG_VASCULAR_SMOOTH_MUSCLE_CONTRACTION,0.6302186878727635,1,-0.2972200426188433,-0.866495056160685,316,45
KEGG_ARRHYTHMOGENIC_RIGHT_VENTRICULAR_CARDIOMYOPATHY_ARVC,0.3661417322834646,0.9645635263612792,-0.3969334215042755,-1.0813321708273074,185,32
KEGG_FOCAL_ADHESION,0.44026548672566373,0.9880000965786996,0.2776836611325193,1.0065272519356265,198,128
KEGG_LEUKOCYTE_TRANSENDOTHELIAL_MIGRATION,0.0199203187250996,0.5295031055900621,-0.5246586774617437,-1.5843303698143258,9,56
KEGG_DILATED_CARDIOMYOPATHY,0.27647058823529413,0.8846153846153845,-0.42739630851491883,-1.1749007000237008,140,33
KEGG_TIGHT_JUNCTION,0.0018867924528301887,0.17216908361616784,-0.5723536016178934,-1.8388569965027128,0,78
KEGG_VIBRIO_CHOLERAE_INFECTION,0.5682730923694779,1,0.31647171380125527,0.9341563287272839,282,38
KEGG_CARDIAC_MUSCLE_CONTRACTION,0.4959349593495935,1,0.3422867259725779,0.9750411116730608,243,33
KEGG_SYSTEMIC_LUPUS_ERYTHEMATOSUS,0.20309477756286268,0.8257166695527605,0.659324248549704,1.2768485747764249,104,6
KEGG_CYTOKINE_CYTOKINE_RECEPTOR_INTERACTION,0.36923076923076925,0.9645635263612792,-0.33218350519661966,-1.0543944101897607,191,72
KEGG_TGF_BETA_SIGNALING_PATHWAY,0.5040322580645161,1,0.30396790481042146,0.9739253688896518,249,57
KEGG_ARGININE_AND_PROLINE_METABOLISM,0.20077972709551656,0.8257166695527605,0.4500203967590768,1.2275581709802958,102,27
KEGG_HISTIDINE_METABOLISM,0.07738095238095238,0.7020000000000001,0.6518031552569907,1.519487744243856,38,13
KEGG_PRIMARY_IMMUNODEFICIENCY,0.8125,1,-0.32269922861529543,-0.6930344878066219,402,10
KEGG_PURINE_METABOLISM,0.04139433551198257,0.6135852451641925,0.4027087446089324,1.3812980945474025,18,91
KEGG_ALZHEIMERS_DISEASE,0.9122807017543859,1,0.21877802132149476,0.7682457845006909,415,107
KEGG_EPITHELIAL_CELL_SIGNALING_IN_HELICOBACTER_PYLORI_INFECTION,0.5944333996023857,1,-0.30210459719461985,-0.9014234084841138,298,52
KEGG_NOTCH_SIGNALING_PATHWAY,0.9458917835671342,1,-0.2257022075335225,-0.6289537611474076,471,37
KEGG_CYTOSOLIC_DNA_SENSING_PATHWAY,0.5566801619433198,1,-0.35237243480944525,-0.908295326257544,274,24
KEGG_MELANOGENESIS,0.23790322580645162,0.8560157790927022,0.3632549365734028,1.163883398557771,117,57
KEGG_LONG_TERM_POTENTIATION,0.22287968441814596,0.8454545454545455,-0.42614909341778145,-1.2305932821159735,112,43
KEGG_CALCIUM_SIGNALING_PATHWAY,0.4990059642147117,1,-0.32206145244036033,-0.9609709183376309,250,52
KEGG_GAP_JUNCTION,0.12424849699398798,0.7461139896373057,-0.4494745888213161,-1.3268024121244253,61,50
KEGG_CHEMOKINE_SIGNALING_PATHWAY,0.14821763602251406,0.7802247191011236,-0.38945562116539384,-1.2543926957502647,78,83
KEGG_OOCYTE_MEIOSIS,0.1660377358490566,0.7986987638256344,-0.38625446226232796,-1.2419889498387942,87,79
KEGG_GNRH_SIGNALING_PATHWAY,0.3463035019455253,0.9634767339771729,-0.34777558735328995,-1.0747866180521672,177,60
KEGG_PROGESTERONE_MEDIATED_OOCYTE_MATURATION,0.09090909090909091,0.7246753246753247,-0.4467392747059449,-1.372459834643644,46,59
KEGG_VASOPRESSIN_REGULATED_WATER_REABSORPTION,0.6207584830339321,1,0.32178119754321666,0.8967083951367951,310,30
KEGG_OLFACTORY_TRANSDUCTION,0.3774703557312253,0.9645635263612792,0.4876008381853279,1.0757680152805869,190,10
KEGG_TASTE_TRANSDUCTION,0.5338491295938105,1,0.446600562799098,0.9327734875346061,275,8
KEGG_NEUROACTIVE_LIGAND_RECEPTOR_INTERACTION,0.8379446640316206,1,0.28231737482345365,0.7216737813389158,423,21
KEGG_RETINOL_METABOLISM,0.001996007984031936,0.17216908361616784,0.8135696627395441,1.875041217083368,0,12
KEGG_DRUG_METABOLISM_CYTOCHROME_P450,0.005988023952095809,0.30806036069193965,0.7909033209305855,1.8228018980935403,2,12
KEGG_TYROSINE_METABOLISM,0.4311023622047244,0.9879060292001488,0.41903456375908565,1.0228268938472747,218,16
KEGG_METABOLISM_OF_XENOBIOTICS_BY_CYTOCHROME_P450,0.001996007984031936,0.17216908361616784,0.8650341632965115,2.042425875327359,0,14
KEGG_CYSTEINE_AND_METHIONINE_METABOLISM,0.1242603550295858,0.7461139896373057,0.5197046690604095,1.3594414816368192,62,23
KEGG_TAURINE_AND_HYPOTAURINE_METABOLISM,0.12092130518234165,0.7461139896373057,0.7880554228380315,1.3777722513054425,62,4
KEGG_OTHER_GLYCAN_DEGRADATION,0.6388888888888888,1,0.37262870323792585,0.8478469508783171,321,11
KEGG_GLYCEROLIPID_METABOLISM,0.23137254901960785,0.8527894705638229,0.445452269693904,1.2024732732654853,117,26
KEGG_STARCH_AND_SUCROSE_METABOLISM,0.6929133858267716,1,0.3311068570492704,0.8082030157348704,351,16
KEGG_ETHER_LIPID_METABOLISM,0.6074950690335306,1,0.3681786356732833,0.8823097196004862,307,15
KEGG_ECM_RECEPTOR_INTERACTION,0.24696356275303644,0.8578123256592405,0.3858316295597798,1.1459973893481146,121,40
KEGG_GLYCINE_SERINE_AND_THREONINE_METABOLISM,0.07539682539682539,0.7020000000000001,0.6560765066744525,1.5294498087925004,37,13
KEGG_SELENOAMINO_ACID_METABOLISM,0.12127236580516898,0.7461139896373057,0.5518937863051874,1.3818200423689446,60,19
KEGG_INTESTINAL_IMMUNE_NETWORK_FOR_IGA_PRODUCTION,0.2034548944337812,0.8257166695527605,0.7173435260391783,1.2541453001758163,105,4
KEGG_APOPTOSIS,0.8131021194605009,1,-0.24478900369118514,-0.7697032257236134,421,64
KEGG_UBIQUITIN_MEDIATED_PROTEOLYSIS,0.9981343283582089,1,-0.15373786939954293,-0.517926109382325,534,120
KEGG_PYRIMIDINE_METABOLISM,0.9887429643527205,1,-0.1942902129694799,-0.6205496370027135,526,74
KEGG_FRUCTOSE_AND_MANNOSE_METABOLISM,0.32382892057026474,0.9568981742894788,-0.4336911592813202,-1.1303855477131137,158,25
KEGG_PENTOSE_AND_GLUCURONATE_INTERCONVERSIONS,0.23517786561264822,0.85463659147869675,0.6187418966881941,1.2499069226002821,118,7
KEGG_GALACTOSE_METABOLISM,0.6043737574552683,1,0.35849163172930143,0.8975837997044673,303,19
KEGG_LINOLEIC_ACID_METABOLISM,0.21663442940038685,0.841477329596637,0.6508244555335091,1.260387859699593,111,6
KEGG_STEROID_HORMONE_BIOSYNTHESIS,0.045454545454545456,0.634090909090909,0.7674696650222605,1.5503486224732748,22,7
KEGG_ACUTE_MYELOID_LEUKEMIA,0.446,0.9910714285714286,0.32333555093588895,0.9949215967627252,222,47
KEGG_PANCREATIC_CANCER,0.6112185686653772,1,-0.294918850563864,-0.9060413977360743,315,59
KEGG_T_CELL_RECEPTOR_SIGNALING_PATHWAY,0.6326129666011788,1,-0.28116055006655166,-0.8828667116245318,321,67
KEGG_COLORECTAL_CANCER,0.9717741935483871,1,0.19844912896303749,0.6255270814628825,481,53
KEGG_PROSTATE_CANCER,0.7136929460580913,1,0.2614616871463905,0.8652107278476685,343,72
KEGG_B_CELL_RECEPTOR_SIGNALING_PATHWAY,0.7362204724409449,1,0.2689802339158094,0.8359590710888214,373,49
KEGG_SMALL_CELL_LUNG_CANCER,0.0859375,0.7154158835613444,-0.4314152703196861,-1.3627715099187243,43,70
KEGG_FC_GAMMA_R_MEDIATED_PHAGOCYTOSIS,0.9865125240847784,1,-0.18471096797222494,-0.5807966278342764,511,64
KEGG_VEGF_SIGNALING_PATHWAY,0.1172962226640159,0.7461139896373057,-0.4589549964240026,-1.3504253310577343,58,48
KEGG_FC_EPSILON_RI_SIGNALING_PATHWAY,0.8056112224448898,1,0.2608011742132923,0.7952943928195655,401,45
KEGG_RENAL_CELL_CARCINOMA,0.7679671457905544,1,0.25618412650573824,0.8236532601352478,373,61
KEGG_GLIOMA,0.9619238476953907,1,0.20853239070930607,0.6426789809538073,479,48
KEGG_MELANOMA,0.2777777777777778,0.8846153846153845,-0.4020785874383297,-1.1664262584941896,139,44
KEGG_ENDOMETRIAL_CANCER,0.8349900596421471,1,-0.25623777160057515,-0.7470181362508587,419,45
KEGG_TOLL_LIKE_RECEPTOR_SIGNALING_PATHWAY,0.2766798418972332,0.8846153846153845,-0.37485980736558017,-1.132910673932233,139,57
KEGG_MTOR_SIGNALING_PATHWAY,0.48412698412698413,1,-0.3279768191109255,-0.9514577148355585,243,44
KEGG_NON_SMALL_CELL_LUNG_CANCER,0.8449304174950298,1,-0.25319971270462427,-0.7381611863948818,424,45
