ENSEMBL,Gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj
ENSG00000108556.7,CHRNE,40.80370258,-1.64E-05,0.684289273,-2.40E-05,0.999980833,0.999980833
ENSG00000257341.5,AL928654.7,6.024429297,0.000103035,1.369890229,7.52E-05,0.999939988,0.999977909
ENSG00000267680.5,ZNF224,953.3802109,0.000106397,0.284589406,0.000373861,0.999701702,0.999919404
ENSG00000143110.11,C1orf162,175.0952988,0.000110988,0.423656017,0.000261977,0.999790972,0.999919404
ENSG00000171824.13,EXOSC10,1167.063457,-0.000133519,0.25300074,-0.00052774,0.999578925,0.999915194
ENSG00000234882.1,EIF3EP1,35.1245863,0.000217315,0.495072776,0.000438956,0.999649764,0.999915194
ENSG00000236809.2,SNX25P1,2.789424569,0.000233849,1.192744696,0.00019606,0.999843567,0.999919404
ENSG00000253123.3,RP11-527N22.1,13.78918056,0.00025018,1.15547995,0.000216516,0.999827245,0.999919404
ENSG00000217889.3,KRT18P48,4.739955862,-0.000325596,0.698057807,-0.000466432,0.999627841,0.999915194
ENSG00000165102.14,HGSNAT,2125.040484,0.000334254,0.37977026,0.000880147,0.999297744,0.999752694
ENSG00000119718.10,EIF2B2,584.0993086,-0.000384851,0.225549941,-0.001706277,0.998638589,0.999328286
ENSG00000172500.12,FIBP,890.0108843,0.000467647,0.185091216,0.002526577,0.997984085,0.998997213
ENSG00000219294.6,PIP5K1P1,1.80257154,-0.000502815,1.690144701,-0.000297498,0.999762631,0.999919404
ENSG00000272123.1,CTD-2366F13.2,8.562608673,0.000531895,0.829055112,0.000641567,0.999488103,0.999867272
ENSG00000100583.4,SAMD15,45.31309183,0.000571769,0.486202204,0.001175991,0.999061695,0.999653571
ENSG00000135052.16,GOLM1,3038.953838,-0.000617585,0.561774846,-0.001099346,0.999122849,0.999653571
ENSG00000100142.14,POLR2F,521.2270065,0.000770123,0.290702224,0.002649182,0.997886261,0.998988458
ENSG00000170959.14,DCDC1,64.08794591,0.000812567,0.476394915,0.001705658,0.998639082,0.999328286
ENSG00000253485.2,PCDHGA5,16.04768956,0.000918925,0.810130414,0.001134293,0.999094965,0.999653571
ENSG00000140990.14,NDUFB10,1460.041237,-0.000948194,0.358525985,-0.002644702,0.997889836,0.998988458
ENSG00000166352.15,C11orf74,206.1224898,0.000978537,0.309633761,0.003160306,0.997478445,0.998843397
ENSG00000065970.8,FOXJ2,466.4809737,-0.000992862,0.289434763,-0.003430346,0.997262985,0.998702146
ENSG00000187504.6,RPL7P48,2.435325041,0.00102977,1.064837454,0.000967068,0.999228392,0.999721239
ENSG00000092978.10,GPATCH2,378.5870932,0.001032354,0.345147123,0.002991055,0.997613487,0.99887802
ENSG00000204120.14,GIGYF2,1431.466669,0.001079829,0.304860127,0.003542046,0.997173862,0.998688748
ENSG00000105321.12,CCDC9,415.7299409,-0.001149452,0.315471719,-0.003643597,0.997092837,0.998683459
ENSG00000167562.12,ZNF701,236.9674383,0.001176887,0.306062754,0.003845246,0.996931945,0.998598169
ENSG00000147164.11,SNX12,952.4202422,-0.001213941,0.203196275,-0.00597423,0.995233282,0.997654591
ENSG00000166949.15,SMAD3,3004.816307,-0.001354861,0.439810596,-0.003080556,0.997542076,0.998867839
ENSG00000159640.15,ACE,428.4277191,-0.00138636,0.590227263,-0.002348858,0.998125884,0.998997213
ENSG00000142684.8,ZNF593,336.6035591,0.00141212,0.386529135,0.003653335,0.997085067,0.998683459
ENSG00000131669.9,NINJ1,1276.606466,-0.001428387,0.314797818,-0.004537474,0.996379632,0.998335844
ENSG00000275327.1,RP11-234G16.4,2.314050911,0.001479758,1.840387795,0.000804047,0.999358463,0.999775511
ENSG00000114127.10,XRN1,783.7617474,-0.001514727,0.260504339,-0.005814593,0.995360652,0.997711166
ENSG00000171617.13,ENC1,604.393552,-0.001521435,0.59761074,-0.002545863,0.997968698,0.998997213
ENSG00000234420.7,ZNF37BP,605.6395047,-0.001677497,0.391217214,-0.004287891,0.996578769,0.998375379
ENSG00000147475.14,ERLIN2,1556.646731,-0.001681062,0.34964183,-0.004807955,0.996163821,0.998207933
ENSG00000236104.2,ZBTB22,444.264227,0.001833544,0.323582178,0.005666394,0.995478896,0.997711166
ENSG00000236773.1,RP11-365O16.1,3.251655821,0.00187741,1.110813987,0.001690121,0.998651479,0.999328286
ENSG00000244300.2,GATA2-AS1,53.75526495,0.001899596,0.601400357,0.003158622,0.997479789,0.998843397
ENSG00000006652.13,IFRD1,2051.05586,-0.002042169,0.40638284,-0.005025235,0.995990459,0.998110071
ENSG00000132467.3,UTP3,614.1591179,-0.002139636,0.387618578,-0.005519953,0.995595737,0.997790346
ENSG00000197106.6,SLC6A17,174.2712088,0.002143203,0.959881173,0.00223278,0.998218501,0.999019454
ENSG00000008018.8,PSMB1,2317.228957,-0.002253251,0.300247597,-0.007504645,0.994012216,0.996726283
ENSG00000196670.13,ZFP62,620.0691597,0.002305595,0.378377373,0.006093374,0.995138221,0.99759722
ENSG00000223864.1,NPM1P19,6.398861943,-0.002310729,0.650725515,-0.003551004,0.997166714,0.998688748
ENSG00000225192.1,ZNF33BP1,5.344386588,0.002404387,0.823447876,0.002919902,0.997670258,0.998882402
ENSG00000261302.5,RP11-343H19.1,2.887541659,-0.002416091,1.013033216,-0.002385007,0.998097042,0.998997213
ENSG00000068885.14,IFT80,1235.443682,0.002458111,0.236217812,0.010406119,0.991697268,0.995619198
ENSG00000004838.13,ZMYND10,57.85719569,0.002470117,0.571653662,0.004321003,0.996552349,0.998375379
ENSG00000273151.1,RP11-449P15.2,430.9326992,-0.002506554,0.255014206,-0.009829076,0.992157658,0.995820707
ENSG00000178163.7,ZNF518B,369.6553831,-0.002513581,0.390768076,-0.006432411,0.994867714,0.997401878
ENSG00000233707.3,RPL22P11,2.511309747,0.002514895,1.026042008,0.002451064,0.998044336,0.998997213
ENSG00000266524.2,GDF10,2.203110797,0.002592992,1.572174239,0.001649303,0.998684047,0.999328286
ENSG00000272047.1,GTF2H5,667.3680065,0.002615848,0.328791977,0.007955938,0.993652147,0.996662186
ENSG00000141664.9,ZCCHC2,475.8361414,-0.00265715,0.363144758,-0.007317056,0.994161886,0.996748044
ENSG00000260464.1,RP4-561L24.3,12.31129435,0.002692847,0.638280042,0.004218911,0.996633806,0.998375379
ENSG00000100271.16,TTLL1,124.199155,-0.002810049,0.301855648,-0.009309247,0.992572403,0.996085332
ENSG00000118579.12,MED28,1364.53186,-0.00281224,0.253420215,-0.01109714,0.991145945,0.995297737
ENSG00000270012.1,LL0XNC01-7P3.1,101.8885428,0.00287545,0.505343774,0.005690088,0.995459991,0.997711166
